Identyfikator,Projekt,Zgłaszający,Przypisany do,Priorytet,Ważność,Powtarzalność,Wersja produktu,Kategoria,Data zgłoszenia,System operacyjny,Wersja systemu,Platforma,Widoczność,Aktualizacja,Temat,Status,Rozwiązanie,Poprawione w wersji
0002684,kuczynskaa,kuczynskaa,,natychmiastowy,blokujący,nie próbowano,,Funkcjonalny,2023-08-11,Windows 10,115.0.5790.171,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Brak e-maila potwierdzającego złożenie zamówienia,nowy,otwarty,
0002715,kuczynskaa,kuczynskaa,,normalny,ważny,zawsze,,Funkcjonalny,2023-08-13,Windows 10,115.0.5790.171 ,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Brak responsywności strony na urządzeniu mobilnym (tutaj Iphone XR),nowy,otwarty,
0002716,kuczynskaa,kuczynskaa,,wysoki,ważny,zawsze,,Funkcjonalny,2023-08-13,Windows 10,115.0.5790.171,Google Chrome ,prywatny,2023-08-18,[skleptest.pl] Jeden adres e-mail może być używany wielokrotnie do subskrypcji Newsletteru,nowy,otwarty,
0002734,kuczynskaa,kuczynskaa,,normalny,drobny,zawsze,,Funkcjonalny,2023-08-14,Windows 10,116.0.2 (64 bity,Firefox,prywatny,2023-08-18,[skleptest.pl] Nie działa sortowanie według ceny (low-high oraz high-low).,nowy,otwarty,
0002732,kuczynskaa,kuczynskaa,,normalny,poprawka,zawsze,,Funkcjonalny,2023-08-14,Windows 10,116.0.2 64 bity,Mozilla,prywatny,2023-08-18,[skleptest.pl] Niedziałające przyciski do zarządzania zdjęciem,nowy,otwarty,
0002683,kuczynskaa,kuczynskaa,,pilny,błąd krytyczny,nie próbowano,,Funkcjonalny,2023-08-11,Windows 10,115.0.5790.171,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Po złożeniu zamówienia nie otrzymujemy danych do przelewu,nowy,otwarty,
0002681,kuczynskaa,kuczynskaa,,normalny,ważny,zawsze,,Funkcjonalny,2023-08-11,Windows 10,115.0.5790.171,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Przycisk 'Buy Now' na stronie głównej nie działa,nowy,otwarty,
0002680,kuczynskaa,kuczynskaa,,normalny,ważny,zawsze,,Funkcjonalny,2023-08-11,Windows 10,115.0.5790.171,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Przycisk 'Learn More' nie działa,nowy,otwarty,
0002678,kuczynskaa,kuczynskaa,,normalny,ważny,zawsze,,Funkcjonalny,2023-08-11,Windows 10,115.0.5790.171 ,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Przycisk 'View Cart' nie działa,nowy,otwarty,
0002682,kuczynskaa,kuczynskaa,,wysoki,ważny,zawsze,,Funkcjonalny,2023-08-11,Windows 10,115.0.5790.171,Google Chrome,prywatny,2023-08-18,[skleptest.pl] Przycisk delete <x> w zakładce 'My Cart' nie działa,nowy,otwarty,
